V_1,V_2,V_3,R_1,R_2,R_3,R_4
4.22,8.13,3.91,0.86,2.65,2.39,1.57
0.56,0.90,0.34,2.98,0.68,1.57,1.65
3.76,7.72,3.96,2.38,1.10,1.18,1.98
2.10,3.65,1.55,1.67,4.05,2.41,1.04
4.43,6.58,2.15,2.70,4.80,1.71,1.75
4.73,9.45,4.72,1.98,4.75,0.56,0.16
2.86,4.91,2.05,0.54,4.11,3.49,3.53
4.60,8.48,3.88,1.11,1.64,3.27,4.05
0.86,1.84,0.98,3.87,2.96,0.94,3.25
2.36,6.85,4.49,1.48,1.43,1.05,1.79
4.50,9.07,4.57,1.93,4.86,1.14,1.09
4.75,4.91,0.16,3.47,2.51,3.82,1.19
3.81,5.44,1.63,0.64,2.77,0.56,4.71
3.62,5.49,1.87,3.90,4.21,4.73,0.54
2.24,4.89,2.65,4.48,2.52,3.04,2.97
1.71,2.26,0.55,3.90,3.24,3.82,1.79
0.72,2.93,2.21,4.24,0.53,4.74,4.43
2.06,6.51,4.45,1.02,4.05,1.17,0.26
3.95,8.26,4.31,4.39,1.32,4.64,3.22
3.02,7.41,4.39,2.13,4.07,4.19,3.31
2.45,4.56,2.11,4.06,3.55,4.23,3.90
0.97,3.21,2.24,0.35,3.10,2.49,1.76
3.74,7.33,3.59,4.68,4.97,0.50,4.38
2.16,6.92,4.76,3.09,0.62,0.79,0.23
0.11,1.03,0.92,0.43,2.62,4.17,3.86
0.95,5.70,4.75,4.04,0.92,1.19,4.39
3.63,5.60,1.97,3.42,2.48,0.35,4.24
4.64,7.41,2.77,1.88,3.66,2.96,1.32
3.17,6.07,2.90,1.83,4.38,4.01,2.14
4.06,7.09,3.03,2.02,0.92,4.76,1.38
3.51,4.43,0.92,3.36,2.01,1.86,0.41
0.68,2.03,1.35,0.55,1.31,1.37,0.78
2.98,3.17,0.19,4.17,2.71,3.41,3.20
1.22,4.36,3.14,0.25,4.97,2.32,2.30
4.20,6.13,1.93,1.77,1.03,2.70,2.82
4.83,8.25,3.42,0.18,0.70,3.17,2.26
4.11,6.95,2.84,1.81,0.69,4.88,4.27
2.25,2.48,0.23,2.80,4.88,1.85,1.54
3.81,5.16,1.35,4.22,0.26,4.93,1.80
2.66,4.39,1.73,0.13,4.82,3.30,4.50
0.93,5.27,4.34,4.81,2.14,4.96,2.84
4.67,6.02,1.35,1.12,0.55,4.83,2.35
0.36,3.16,2.80,4.35,3.37,0.57,0.50
3.71,3.88,0.17,3.72,4.32,3.87,1.07
1.75,5.58,3.83,3.84,4.39,2.35,3.34
0.56,1.16,0.60,3.57,4.40,0.95,3.91
4.17,6.77,2.60,4.98,4.95,1.21,4.41
4.72,5.75,1.03,3.57,1.19,4.53,0.04
3.74,4.00,0.26,0.04,2.29,2.57,1.47
0.42,2.81,2.39,1.37,0.12,1.78,2.07
4.28,6.45,2.17,2.43,2.96,1.07,1.10
2.75,6.76,4.01,3.97,1.61,2.65,2.96
4.59,8.27,3.68,1.11,0.25,3.74,4.33
-1.73,-6.55,-4.82,46.43,1.24,92.43,3.73
-2.84,-5.58,-2.74,71.13,22.75,81.98,7.12
-2.67,1.08,3.75,76.79,22.34,16.95,3.43
-3.62,-3.82,-0.20,73.29,19.98,82.43,27.22
-0.43,0.33,0.76,70.36,35.53,14.82,51.83
0.76,-3.66,-4.42,82.71,28.21,26.88,82.55
-1.89,-0.81,1.08,50.33,69.11,52.31,25.31
-3.46,-3.61,-0.15,5.46,65.70,89.59,50.78
-3.75,-5.70,-1.95,62.93,5.81,77.00,40.12
3.31,2.76,-0.55,7.09,80.70,19.74,83.50
4.78,2.74,-2.04,69.35,77.49,28.56,92.25
4.13,2.14,-1.99,6.19,31.09,7.86,79.15
-3.78,-4.26,-0.48,8.82,2.36,42.37,82.71
4.17,-0.51,-4.68,41.56,71.04,61.22,18.59
2.22,-1.24,-3.46,20.64,62.64,7.18,99.42
3.38,4.06,0.68,85.75,54.36,97.24,97.49
0.13,2.18,2.05,34.95,56.08,34.92,79.44
0.47,-2.59,-3.06,97.97,90.91,65.46,76.40
-2.90,-1.78,1.12,2.11,31.51,93.14,9.67
1.31,0.80,-0.51,62.49,47.34,30.50,25.92
-1.57,-2.83,-1.26,44.65,68.48,64.64,0.42
-3.66,-6.13,-2.47,46.92,23.91,77.41,90.00
-3.91,-1.60,2.31,90.18,81.46,26.82,7.01
-2.30,-6.69,-4.39,64.87,14.16,26.95,58.14
3.54,1.91,-1.63,15.21,25.12,25.13,72.42
4.73,0.24,-4.49,64.73,48.58,52.24,89.96
2.39,0.81,-1.58,90.88,97.48,92.05,90.68
1.60,-3.20,-4.80,44.49,90.99,86.05,27.34
-2.53,-5.84,-3.31,83.82,68.29,30.79,15.06
0.71,0.05,-0.66,91.60,94.20,25.55,77.21
2.28,3.81,1.53,44.43,5.56,19.98,27.88
-4.48,-0.09,4.39,32.38,37.37,8.15,24.48
-3.95,-4.61,-0.66,13.58,94.75,44.02,76.39
4.29,7.93,3.64,27.01,43.61,34.73,10.92
1.33,-3.10,-4.43,89.75,32.92,27.96,13.35
-0.43,0.96,1.39,2.93,31.05,85.16,23.04
0.22,2.61,2.39,84.60,83.60,21.11,19.99
-1.10,-4.13,-3.03,91.04,4.83,52.60,49.96
4.01,4.45,0.44,47.65,62.64,73.46,62.93
1.68,-0.76,-2.44,86.22,41.35,55.82,14.01
1.07,-3.87,-4.94,15.92,99.93,90.87,43.67
0.83,2.21,1.38,66.31,96.62,6.44,44.14
-4.52,-7.79,-3.27,2.29,74.74,91.20,24.53
1.61,4.16,2.55,16.46,18.67,96.53,91.27
0.48,-3.46,-3.94,53.58,21.38,75.85,90.44
3.42,6.05,2.63,19.19,34.90,9.12,29.64
-0.82,1.80,2.62,61.63,63.61,98.23,26.04
